Filename,PSNR normal,SSIM normal,MSE normal,MAE normal
Normal-235.png,16.13617122736937,0.11523171628798783,1582.9355697631836,101.05833435058594
Normal-1422.png,13.685553018055725,0.12258597857224206,2783.075954437256,121.43996047973633
Normal-221.png,12.867911084042426,0.1322093104746464,3359.612995147705,92.29000473022461
Normal-1436.png,13.875319442080405,0.1499222305319969,2664.0870819091797,126.69453430175781
Normal-3221.png,18.152676600252192,0.10386443074746486,994.9762191772461,126.02539825439453
Normal-2881.png,14.138856110774958,0.13986609358330573,2507.23331451416,134.20845794677734
Normal-2659.png,12.719995312019021,0.13974687114691875,3476.008499145508,88.12030792236328
Normal-1350.png,10.622976869085448,0.12224692012231378,5633.556755065918,87.22429656982422
Normal-547.png,13.875435297037395,0.1311392948916584,2664.016014099121,132.19244384765625
Normal-34.png,12.88768231522494,0.1229780659088647,3344.3531379699707,74.04169845581055
Normal-20.png,13.173968048654759,0.12379079888290635,3131.003520965576,123.99818801879883
Normal-2856.png,15.261433117909585,0.1283793101434402,1936.141300201416,126.48501205444336
Normal-590.png,13.173045791631164,0.15500341381838714,3131.668483734131,106.49227523803711
Normal-1387.png,15.407920068826984,0.131769122999299,1871.9246101379395,96.0450553894043
Normal-584.png,12.359089314920027,0.12402825688696326,3777.2125968933105,70.23454666137695
Normal-1393.png,11.684891926624362,0.13824551563347437,4411.549617767334,98.02766036987305
Normal-2842.png,13.14226487964812,0.14281448914709868,3153.9432373046875,92.09745025634766
Normal-2315.png,12.403538422171883,0.11967174126474295,3738.7507972717285,88.25907516479492
Normal-2473.png,14.87798237823317,0.13152517448431872,2114.862434387207,94.91358947753906
Normal-2467.png,12.630991058922213,0.1146912003001879,3547.9807510375977,78.18009948730469
Normal-779.png,13.538137604350176,0.13050282646043287,2879.1653060913086,123.65928649902344
Normal-1608.png,11.260870715150602,0.13442768306896236,4863.996898651123,89.01202774047852
Normal-2301.png,12.797212783321834,0.12746565040841068,3414.7513275146484,122.490478515625
Normal-1620.png,18.414326196821026,0.11646821913397369,936.8018531799316,112.80853652954102
