Filename,PSNR,SSIM,MSE,MAE
image_test_6294.png,15.240612759324346,0.6333631797263425,0.029918424786509204,0.14956391
image_test_6294.png,17.876447098972243,0.6823126202595872,0.016306294817793332,0.10749255
image_test_6294.png,14.69977755793466,0.6400680128514905,0.03388615119029459,0.1582864
image_test_6294.png,22.269897100338987,0.6720352166450441,0.005929393732359798,0.05536104
image_test_6294.png,19.07187910214706,0.6538893391849516,0.012382607008826676,0.09399315
image_test_6294.png,19.756214495810994,0.6080791851697671,0.010577390800202396,0.073859125
image_test_6294.png,17.624504382410546,0.5954841367820385,0.017280231715494,0.11256622
image_test_6294.png,13.523987073521857,0.6495833421820307,0.04442232576692236,0.19092456
image_test_6294.png,17.090041172558923,0.6704553990456902,0.019543209280762558,0.1204572
image_test_6294.png,16.30300440262284,0.661024802144781,0.023426076637930372,0.13012926
image_test_6294.png,13.118397442921125,0.6372933213555726,0.04877084224839756,0.19979444
image_test_6294.png,14.430014906037066,0.653382084516869,0.03605774054306487,0.16720706
image_test_6294.png,15.907597092431194,0.650329000954545,0.02565903332276538,0.13555871
image_test_6294.png,14.413728283590705,0.646530129374359,0.03619321574669321,0.17126681
image_test_6294.png,17.124524799446107,0.6521191410710336,0.01938864772934758,0.115305126
image_test_6294.png,17.261624050252788,0.6570277636729579,0.018786141750520523,0.11495065
image_test_6294.png,15.95859143814818,0.6732142913000454,0.025359509906172365,0.1419477
image_test_6294.png,12.780929303268389,0.6362038759298941,0.05271170568542338,0.21114725
image_test_6294.png,22.851413533840056,0.6637727867408144,0.005186312083056334,0.053453557
image_test_6294.png,15.741017801442698,0.6708577516453941,0.026662337395748976,0.13704076
image_test_6294.png,13.738656758989558,0.6552414825184631,0.042279936278971114,0.18523821
image_test_6294.png,16.3512090035185,0.5709546587520287,0.02316749615674968,0.12996307
image_test_6294.png,15.964538037899098,0.6700696857289197,0.025324810027430894,0.13384002
image_test_6294.png,13.209323083106463,0.6358443157388475,0.04776037099765746,0.20456322
image_test_6294.png,15.541864607983138,0.6914805297356111,0.02791345142629574,0.14254852
image_test_6294.png,14.953052042310492,0.6407429887322252,0.03196647848015793,0.15171105
image_test_6294.png,15.195084299196576,0.6171232865281798,0.03023371884457282,0.16080326
image_test_6294.png,15.875554002685243,0.5999529831395759,0.02584905078131531,0.14021544
image_test_6294.png,15.076282093444505,0.67422507000595,0.031072184762720934,0.14519179
image_test_6294.png,14.940986196093679,0.6234349660655232,0.03205541327391223,0.14949507
